etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,4,4,10,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,13,1.0,1,ANGRA1,1,318.5,10.0,3185.0
FW,4,4,13,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,13,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,13,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,16,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,16,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,16,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,16,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,19,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,19,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,19,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,19,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,22,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,22,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,22,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,22,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,25,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,25,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,25,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,25,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,5,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,5,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,5,2,2,0.125,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,2,0.125,1,ANGRA2,2,338.0,20.0,6760.0
FW,5,2,2,0.125,1,ANGRA2,3,338.0,30.0,10140.0
FW,5,2,2,0.125,1,ANGRA2,4,338.0,40.0,13520.0
FW,5,2,5,0.125,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,5,0.125,1,ANGRA2,2,112.3,20.0,2246.0
FW,5,2,5,0.125,1,ANGRA2,3,112.3,30.0,3369.0
FW,5,2,5,0.125,1,ANGRA2,4,112.3,40.0,4492.0
FW,5,2,8,0.125,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,8,0.125,1,ANGRA2,2,375.0,20.0,7500.0
FW,5,2,8,0.125,1,ANGRA2,3,375.0,30.0,11250.0
FW,5,2,8,0.125,1,ANGRA2,4,375.0,40.0,15000.0
FW,5,2,11,0.125,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,11,0.125,1,ANGRA2,2,0.0,20.0,0.0
FW,5,2,11,0.125,1,ANGRA2,3,0.0,30.0,0.0
FW,5,2,11,0.125,1,ANGRA2,4,0.0,40.0,0.0
FW,5,2,14,0.125,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,14,0.125,1,ANGRA2,2,173.0,20.0,3460.0
FW,5,2,14,0.125,1,ANGRA2,3,173.0,30.0,5190.0
FW,5,2,14,0.125,1,ANGRA2,4,173.0,40.0,6920.0
FW,5,2,17,0.125,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,17,0.125,1,ANGRA2,2,450.3,20.0,9006.0
FW,5,2,17,0.125,1,ANGRA2,3,450.3,30.0,13509.0
FW,5,2,17,0.125,1,ANGRA2,4,450.3,40.0,18012.0
FW,5,2,20,0.125,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,20,0.125,1,ANGRA2,2,378.3,20.0,7566.0
FW,5,2,20,0.125,1,ANGRA2,3,378.3,30.0,11349.0
FW,5,2,20,0.125,1,ANGRA2,4,378.3,40.0,15132.0
FW,5,2,23,0.125,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,2,23,0.125,1,ANGRA2,2,500.0,20.0,10000.0
FW,5,2,23,0.125,1,ANGRA2,3,500.0,30.0,15000.0
FW,5,2,23,0.125,1,ANGRA2,4,500.0,40.0,20000.0
FW,5,3,3,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,3,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,3,3,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,3,3,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,3,6,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,6,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,3,6,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,3,6,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,3,9,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,9,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,3,9,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,3,9,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,3,12,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,12,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,3,12,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,3,12,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,3,15,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,15,1.0,1,ANGRA2,2,-0.0,20.0,-0.0
FW,5,3,15,1.0,1,ANGRA2,3,-0.0,30.0,-0.0
FW,5,3,15,1.0,1,ANGRA2,4,-0.0,40.0,-0.0
FW,5,3,18,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,18,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,3,18,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,3,18,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,3,21,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,21,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,3,21,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,3,21,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,3,24,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,3,24,1.0,1,ANGRA2,2,43.0,20.0,860.0
FW,5,3,24,1.0,1,ANGRA2,3,43.0,30.0,1290.0
FW,5,3,24,1.0,1,ANGRA2,4,43.0,40.0,1720.0
FW,5,4,4,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,4,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,4,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,4,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,7,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,7,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,7,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,7,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,10,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,10,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,10,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,10,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,13,1.0,1,ANGRA1,1,474.0,10.0,4740.0
FW,5,4,13,1.0,1,ANGRA2,2,-0.0,20.0,-0.0
FW,5,4,13,1.0,1,ANGRA2,3,-0.0,30.0,-0.0
FW,5,4,13,1.0,1,ANGRA2,4,-0.0,40.0,-0.0
FW,5,4,16,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,16,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,16,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,16,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,19,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,19,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,19,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,19,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,22,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,22,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,22,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,22,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,5,4,25,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,5,4,25,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,5,4,25,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,5,4,25,1.0,1,ANGRA2,4,0.0,40.0,0.0
